Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,1200,60000.0,30000.0,In-store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,50000.0,15000.0,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000,40000.0,14000.0,In-store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,38250.0,13387.5,In-store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,In-store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000,50000.0,12500.0,In-store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,1250,62500.0,31250.0,In-store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,45000.0,13500.0,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,38000.0,13300.0,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,37125.0,12993.749999999998,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,1000,50000.0,12500.0,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,1220,61000.0,30500.0,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,46250.0,13875.0,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,38000.0,13300.0,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,36000.0,12599.999999999998,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850,51000.0,15300.0,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,47500.0,11875.0,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,1200,60000.0,30000.0,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,45000.0,13500.0,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,36000.0,12599.999999999998,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,37125.0,12993.749999999998,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,49500.0,14850.0,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,47500.0,11875.0,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,1220,73200.0,36600.0,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925,50875.00000000001,15262.5,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,45000.0,15750.0,Outlet
